More than a week after a woman Communist Party of India Maoist CPI Maoist cadre was killed in an encounter in the forests of Lanjigarh block in Kalahandi District the Maoists identified her as Sangita and called a bandh general shutdown in two Districts in protest against the killing reports New Indian Express In a two minute audio tape released by Ghumusar Nagavalli Bansadhara division secretary Nikhil alias Niranjan Rout to a local news channel in Bhawanipatna the Maoists declared that the woman Maoist was Sangita from Adikanda village of Mohana block in Gajapati District Sangita was killed on September 15 during an exchange of fire between Special Operation Group SOG and Maoists in Phulbari forest near Katlang village under Bijepur Police limits Through the tape Nikhil informed that the division has called a bandh in Rayagada and Kalahandi Districts on September 29 protesting the encounter He stated that Sangita was active in the division for the last seven years The tape also disagreed with the statement of Deputy Inspector General DIG of South Western S Shiny and Kalahandi Superintendent of Police SP Brijesh Rai that Maoists were pushing woman cadres to the front to let them die Police are however verifying the authenticity of the tape Rai said there is no confirmed information on the matter But Police are alert to meet any eventuality and control law and order Combing operation to flush out the Maoists is continuing he added	1	0	0	0
Three Tehreek e Taliban Pakistan (TTP) militants were shot dead and one Policeman was injured in retaliatory firing in Manghopir area of Gadap Town in Karachi, the provincial capital of Sindh on March 8, reported Dawn. According to details, Police party on its routine patrol on Ijtimahgah road near Medina restaurant came under attack by suspected militants. Assistant Sub Inspector (ASI) Imran got wounded in the attack, said Manghopir Police Station Station House Officer (SHO) Ghulam Hussain Korai. The police returned fire and killed three militants, while their three accomplices escaped. The Police claimed to have seized a Kalashnikov and two pistols from their possession.	1	0	0	0
Armed men opened fire and killed Head Constable Ashfaq Qazi in Killi Sheikhan area of Mastung District Police described the killings in Mastung as acts of targeted killings	1	0	0	1
RAB cordoned off a six storey building on Mazar Road in Dhaka citys Mirpur area since September 4 suspecting the presence of militants inside reports The Daily Star The suspected militants have been repeatedly told to surrender The calls were ignored and instead met with explosion of some crude bombs	0	1	0	0
At least eight people were killed and 11 others were injured when a suicide bomber while targeting tribal elder Malik Habibullah Khan drove his motorcycle into the car of the tribal elder in the Torha Warhai area of Doaba Bazaar in Hangu city of Hangu District on July 8, reports The Express Tribune. At the time of the explosion, Malik Habibullah was not in the vehicle but his brother Malik Abdullah and two cousins were killed. Deputy Superintendent of Police (DSP) Shaukat Ali Shah confirmed that the bomber wanted to target Malik Habibullah who has been actively involved in counter insurgency efforts in the region. He had been receiving threats from militants based in Kurram and Orakzai Agencies of Federally Administered Tribal Areas (FATA).	0	1	0	0
About 100 armed Maoists attacked and ransacked a Government approved foreign liquor shop at Padia under Kalimela Police Station in Malkangiri District, reports IBN Live. This was the fourth attack by the Maoists on the same shop. After damaging the shop and stock, the Maoists targeted and ransacked the house of a villager who was selling foreign liquor illegally.	0	0	0	1
The Tehreek e Taliban Pakistan (TTP) on January 18 killed four members of an alleged dacoit group in Sarkadana area of Hangu District in Khyber Pakhtunkhwa, reports Daily Times. The slain persons were identified as Anwar, Ghazi, Farooq and Sharabi. The official sources that the TTP had left a letter with the four dead bodies, claiming the responsibility of the killings and warned the local prayer leaders and people against attending the funeral prayers of the deceased.	0	0	0	1
The United National Liberation Front of Western South East Asia (UNLFW), an umbrella grouping of several militant outfits in the northeast, claimed responsibility for the attack of November 26 where five Indian soldiers were seriously injured, reports The Morung Express on November 26. According to the sources the soldiers were patrolling near Sajik Tampak village ofChandel District when a remote controlled bomb detonated near them, while the militants opened fire with automatic rifles. A statement issued by the Independent faction of United Liberation Front of Asom (ULFA I) claimed the responsibility. A group of Peoples Liberation Army (PLA) attacked the 21 Para Regiment of Indian Army between Aisi and Khunmulen near Sajik Tampak in Chandel District on Saturday (November 26) morning. Five or more Indian soldiers are seriously injured, it said.	1	1	0	0
Two people were gunned down on link Badini Road area of Sariab while a bullet riddled body was recovered from Kuchklak in Quetta, the provincial capital of Balochistan province on July 27, reports Daily Times. A man identified as Master Abdul Khaliqdad allegedly opened gunfire on two persons on Link Badini Road area of Sariab. As a result, both the victims were killed on the spot. The deceased were identified as Jalal Khan and Khalil Ahmed. A bullet riddled body was recovered from Kuchklak, a suburb of Quetta. Police identified the deceased as Muhammad Ali.	1	0	0	0
Three Afghan Policemen were killed and two others were injured when a suicide bomber blew himself up 200 meters away from the Indian consulate in Jalalabad on January 13 today reports Times of India Afghan Security Forces SFs later exchanged fire with gunmen barricaded in a house near the Pakistan consulate nearby All Indians are reported to be safe	1	0	0	1
12 persons sustained injuries when unidentified persons hurled a hand grenade at a workshop in Bara Qadeem in the limits of Sarband Police Station in Peshawar (Peshawar District), the provincial capital of KP, in the evening of March 30, reports The News. The condition of one of them was stated to be critical.	0	1	0	0
Suspected Communist Party of India Maoist (CPI Maoist) cadres on April 20 triggered a bomb blast at an under construction Constable Training Centre, beside a Central Reserve Police Force (CRPF) camp, under Jadugora Police Station limits in East Singhbhum District, reports NDTV. Eleven low intensity bombs were placed on the under constructed boundary wall of the training centre but six of them exploded.	0	1	0	0
Four suicide bombers tried to attack Indian consulate in Jalalabad, capital of Nangarhar Province, on March 2, reports Times of India. A bomb in a car driven by one of the terrorists was detonated near the Indian consulate, shattering doors and windows and destroying at least eight other cars, even as explosions and gunfire rocked the area, witnesses said. The head of the public health department in Nangarhar said at least six people had been wounded in the attack. India Ministry of External Affairs spokesman Vikas Swarup said no consulate staff members were injured.Afghanistan and Indian Security Forces killed the four suicide bombers. Their target was the Indian consulate, but our forces shot and killed them all before they reached their target, said Attahullah Khugyani, a spokesman for the governor of Nangarhar Province (Jalalabad is the Capital). No militant group has so far claimed responsibility for the ongoing assault.	1	1	0	1
The insurgency hit Bastar region of Chhattisgarh witnessed intensified Communist Party of India Maoist (CPI Maoist) activities on January 25 and 26, reports The Hindu. The Maoists felled trees and dug up roads leading to traffic disruption. They damaged drill machine of the NMDCs (National Mineral Development Corporation) Kirandul plant in Dantewada District and damaged National Highway 30 in the previous evening. The Maoists also abducted two passenger buses in Katekalyan area of Dantewada in the night of January 25. Buses were released after some time. Maoists wrote some slogans on the bus, said R.K. Vij, Additional Director General (ADG) of Police, anti Naxal operations. Further, the Maoists damaged railway track between Kirandul and Bacheli town and opened fire on Chintagufa and Timilwada Police camps in Sukma District in the morning of January 26.	0	0	1	1
Three persons, including a woman, were killed while two Government officers of Jaffarabad District went missing mysteriously in separate incidents, on June 5, reports Daily Times. Unidentified armed assailants opened fire in Goth Alladad of Dera Allahyar city in Jaffarabad District, killing two people, including a woman. The deceased were identified as Imam Khatoon and Zafarullah.	1	0	1	0
About 20 25 Communist Party of India Maoist (CPI Maoist) cadres allegedly killed Devendra Modem (20), a tribal youth when he refused to join their movement in Bijapur District on June 1, reports The Times of India. Modem was brutally beaten and then axed to death by the Maoists at his native place Baiguda under Awapalli Police Station limits, Bijapur Deputy Superintendent of Police (DSP) Sukhnandan Rathore said.	0	0	0	1
